order_item_id,order_id,order_date,customer_id,product_id,quantity,unit_price,payment_method,order_status
90426,50169,2024-03-02,1070,203,3,58889.04,"Net Banking",Delivered
90427,50169,2024-03-02,1070,219,3,3662.58,"Net Banking",Delivered
90428,50169,2024-03-02,1070,227,2,1983.63,"Net Banking",Delivered
90429,50169,2024-03-02,1070,212,2,3456.22,"Net Banking",Delivered
90303,50122,2024-03-05,1018,203,3,60319.29,"Debit Card",Cancelled
90304,50122,2024-03-05,1018,219,3,3358.11,"Debit Card",Cancelled
90305,50122,2024-03-05,1018,213,1,2135.25,"Debit Card",Cancelled
90306,50122,2024-03-05,1018,221,1,1011.98,"Debit Card",Cancelled
90326,50132,2024-03-07,1091,220,3,3056.14,"Net Banking",Shipped
90327,50132,2024-03-07,1091,211,1,8398.06,"Net Banking",Shipped
90328,50132,2024-03-07,1091,212,1,3356.98,"Net Banking",Shipped
90495,50195,2024-03-16,1092,210,1,5723.68,UPI,Delivered
90496,50195,2024-03-16,1092,225,2,3602.22,UPI,Delivered
90497,50195,2024-03-16,1092,221,2,965.74,UPI,Delivered
90488,50193,2024-03-21,1089,204,1,51414.25,"Debit Card",Delivered
90489,50193,2024-03-21,1089,207,3,64673.09,"Debit Card",Delivered
90490,50193,2024-03-21,1089,228,2,4484.84,"Debit Card",Delivered
90605,50238,2024-03-21,1040,210,3,5693.13,UPI,Shipped
90606,50238,2024-03-21,1040,235,3,1591.24,UPI,Shipped
90157,50060,2024-03-23,1084,221,1,991.63,UPI,Delivered
90158,50060,2024-03-23,1084,232,2,1888.89,UPI,Delivered
90159,50060,2024-03-23,1084,235,3,1678.33,UPI,Delivered
90160,50060,2024-03-23,1084,203,1,52985.39,UPI,Delivered
90479,50188,2024-03-23,1088,206,2,60528.92,"Cash on Delivery",Processing
90594,50234,2024-03-27,1083,202,3,63547.08,"Credit Card",Delivered
90595,50234,2024-03-27,1083,220,2,2783.96,"Credit Card",Delivered
90596,50234,2024-03-27,1083,214,1,39660.97,"Credit Card",Delivered
90523,50205,2024-03-28,1082,223,1,2292.22,"Net Banking",Delivered
90524,50205,2024-03-28,1082,211,3,8855.42,"Net Banking",Delivered
90498,50196,2024-03-30,1017,229,1,7323.04,"Debit Card",Delivered
90499,50196,2024-03-30,1017,236,1,380.28,"Debit Card",Delivered
90500,50196,2024-03-30,1017,233,2,12863.01,"Debit Card",Delivered
90501,50196,2024-03-30,1017,227,1,1955.13,"Debit Card",Delivered
