order_item_id,order_id,order_date,customer_id,product_id,quantity,unit_price,payment_method,order_status
90071,50031,2024-02-01,1097,202,1,59984.81,"Cash on Delivery",Delivered
90072,50031,2024-02-01,1097,240,1,1067.17,"Cash on Delivery",Delivered
90558,50220,2024-02-12,1070,235,3,1615.63,UPI,Cancelled
90559,50220,2024-02-12,1070,214,2,42532.46,UPI,Cancelled
90560,50220,2024-02-12,1070,228,1,4433.22,UPI,Cancelled
90561,50220,2024-02-12,1070,207,2,65786.30,UPI,Cancelled
90482,50190,2024-02-13,1068,237,1,563.46,"Cash on Delivery",Delivered
90483,50190,2024-02-13,1068,231,2,801.13,"Cash on Delivery",Delivered
90633,50249,2024-02-14,1012,224,1,2284.93,"Credit Card",Delivered
90634,50249,2024-02-14,1012,230,2,1492.38,"Credit Card",Delivered
90635,50249,2024-02-14,1012,206,3,57406.24,"Credit Card",Delivered
90636,50249,2024-02-14,1012,238,3,453.76,"Credit Card",Delivered
90438,50173,2024-02-15,1032,215,2,27629.69,"Debit Card",Delivered
90439,50173,2024-02-15,1032,235,3,1495.26,"Debit Card",Delivered
90440,50173,2024-02-15,1032,214,3,41428.51,"Debit Card",Delivered
90441,50173,2024-02-15,1032,204,3,54431.83,"Debit Card",Delivered
90190,50072,2024-02-16,1018,232,3,1775.98,"Cash on Delivery",Delivered
90191,50072,2024-02-16,1018,208,2,27609.57,"Cash on Delivery",Delivered
90192,50072,2024-02-16,1018,207,3,64983.36,"Cash on Delivery",Delivered
90307,50123,2024-02-18,1100,218,2,5792.29,"Net Banking",Processing
90308,50123,2024-02-18,1100,208,2,30343.87,"Net Banking",Processing
90309,50123,2024-02-18,1100,224,1,2376.19,"Net Banking",Processing
90105,50043,2024-02-22,1024,208,3,27332.46,"Credit Card",Delivered
90106,50043,2024-02-22,1024,205,1,59174.09,"Credit Card",Delivered
90107,50043,2024-02-22,1024,226,3,2305.03,"Credit Card",Delivered
90108,50043,2024-02-22,1024,232,1,1979.46,"Credit Card",Delivered
90336,50135,2024-02-26,1065,220,3,2771.96,"Debit Card",Delivered
90337,50135,2024-02-26,1065,211,3,8399.72,"Debit Card",Delivered
